episode,score,total_reward,epsilon
193.0,1.0,-1.299999999999999,0.6808695737944838
194.0,0.0,-10.8,0.6795078346468948
195.0,1.0,-0.40000000000000036,0.678148818977601
196.0,1.0,-0.9999999999999982,0.6767925213396458
197.0,0.0,-11.0,0.6754389362969666
198.0,0.0,-11.0,0.6740880584243727
199.0,0.0,-10.5,0.6727398823075239
200.0,2.0,7.299999999999997,0.6713944025429088
201.0,0.0,-10.8,0.670051613737823
202.0,1.0,-0.3999999999999986,0.6687115105103473
203.0,1.0,-0.3999999999999986,0.6673740874893266
204.0,0.0,-10.9,0.6660393393143479
205.0,1.0,-1.399999999999995,0.6647072606357192
206.0,0.0,-10.7,0.6633778461144477
207.0,1.0,-0.7999999999999989,0.6620510904222189
208.0,1.0,-1.099999999999996,0.6607269882413744
209.0,2.0,6.899999999999974,0.6594055342648917
210.0,1.0,-1.5999999999999979,0.6580867231963619
211.0,6.0,47.09999999999998,0.6567705497499692
212.0,0.0,-10.3,0.6554570086504692
213.0,2.0,8.099999999999987,0.6541460946331682
214.0,0.0,-10.9,0.6528378024439019
215.0,0.0,-10.5,0.6515321268390141
216.0,0.0,-10.3,0.6502290625853361
217.0,2.0,9.5,0.6489286044601654
218.0,3.0,19.09999999999999,0.6476307472512451
219.0,0.0,-10.5,0.6463354857567426
220.0,1.0,-0.5999999999999979,0.6450428147852291
221.0,1.0,-0.6999999999999993,0.6437527291556586
222.0,0.0,-10.4,0.6424652236973473
223.0,0.0,-10.5,0.6411802932499525
224.0,0.0,-10.9,0.6398979326634526
225.0,1.0,-1.1999999999999957,0.6386181367981257
226.0,1.0,-0.6999999999999993,0.6373409005245295
227.0,1.0,-0.5,0.6360662187234805
228.0,2.0,9.5,0.6347940862860335
229.0,3.0,19.5,0.6335244981134615
230.0,2.0,8.7,0.6322574491172346
231.0,1.0,-0.9999999999999964,0.6309929342190002
232.0,0.0,-10.3,0.6297309483505622
233.0,0.0,-10.8,0.6284714864538611
234.0,0.0,-10.3,0.6272145434809534
235.0,0.0,-11.1,0.6259601143939915
236.0,0.0,-10.9,0.6247081941652035
237.0,1.0,-0.5999999999999979,0.6234587777768731
238.0,1.0,-1.099999999999996,0.6222118602213194
239.0,1.0,-0.3999999999999986,0.6209674365008767
240.0,1.0,-0.3000000000000007,0.619725501627875
241.0,0.0,-10.5,0.6184860506246193
242.0,0.0,-10.8,0.61724907852337
243.0,0.0,-10.4,0.6160145803663232
244.0,0.0,-10.5,0.6147825512055906
245.0,2.0,7.699999999999989,0.6135529861031793
246.0,2.0,8.7,0.612325880130973
247.0,2.0,8.8,0.611101228370711
248.0,0.0,-11.5,0.6098790259139696
249.0,2.0,9.0,0.6086592678621416
250.0,2.0,8.199999999999996,0.6074419493264174
251.0,0.0,-10.6,0.6062270654277645
252.0,1.0,-1.7999999999999972,0.6050146112969089
253.0,0.0,-10.7,0.6038045820743151
254.0,2.0,8.000000000000007,0.6025969729101665
255.0,0.0,-10.5,0.6013917789643461
256.0,1.0,-0.5999999999999979,0.6001889954064175
257.0,1.0,-0.6999999999999993,0.5989886174156046
258.0,1.0,-1.2999999999999954,0.5977906401807734
259.0,1.0,-1.3999999999999986,0.5965950589004119
260.0,0.0,-11.0,0.595401868782611
261.0,0.0,-10.3,0.5942110650450458
262.0,0.0,-11.4,0.5930226429149558
263.0,1.0,-1.4999999999999947,0.5918365976291259
264.0,1.0,-1.4000000000000004,0.5906529244338676
265.0,0.0,-10.4,0.5894716185849999
266.0,1.0,-0.40000000000000036,0.5882926753478298
267.0,2.0,9.000000000000004,0.5871160899971342
268.0,0.0,-10.5,0.5859418578171399
269.0,1.0,-0.40000000000000036,0.5847699741015057
270.0,1.0,-1.0,0.5836004341533026
271.0,4.0,27.69999999999999,0.5824332332849961
272.0,1.0,-0.4999999999999982,0.5812683668184261
273.0,3.0,16.799999999999972,0.5801058300847892
274.0,1.0,-0.40000000000000036,0.5789456184246197
275.0,1.0,-1.4999999999999964,0.5777877271877704
276.0,0.0,-11.4,0.5766321517333949
277.0,0.0,-10.5,0.5754788874299281
278.0,1.0,-1.7999999999999972,0.5743279296550683
279.0,1.0,-0.6999999999999993,0.5731792737957582
280.0,2.0,8.899999999999988,0.5720329152481667
281.0,0.0,-11.2,0.5708888494176704
282.0,0.0,-10.5,0.569747071718835
283.0,1.0,-1.1999999999999993,0.5686075775753973
284.0,1.0,-2.099999999999996,0.5674703624202465
285.0,2.0,9.5,0.5663354216954061
286.0,1.0,-2.200000000000001,0.5652027508520152
287.0,2.0,9.3,0.5640723453503111
288.0,2.0,8.899999999999999,0.5629442006596105
289.0,0.0,-10.9,0.5618183122582913
290.0,0.0,-11.2,0.5606946756337747
291.0,1.0,-0.6999999999999993,0.5595732862825071
292.0,1.0,-0.5,0.5584541397099421
293.0,0.0,-10.6,0.5573372314305222
294.0,1.0,-1.4999999999999964,0.5562225569676611
295.0,2.0,9.399999999999999,0.5551101118537257
296.0,1.0,-0.3999999999999986,0.5539998916300183
297.0,1.0,-0.3999999999999986,0.5528918918467582
298.0,0.0,-10.3,0.5517861080630647
299.0,1.0,-1.4999999999999947,0.5506825358469386
300.0,2.0,8.099999999999994,0.5495811707752447
301.0,3.0,19.199999999999996,0.5484820084336942
302.0,4.0,28.499999999999986,0.5473850444168268
303.0,2.0,8.799999999999997,0.5462902743279932
304.0,2.0,9.700000000000003,0.5451976937793371
305.0,1.0,-1.6999999999999975,0.5441072983917784
306.0,1.0,-0.5,0.5430190837949949
307.0,0.0,-10.4,0.5419330456274049
308.0,1.0,-0.3000000000000007,0.5408491795361501
309.0,0.0,-10.6,0.5397674811770777
310.0,1.0,-0.40000000000000036,0.5386879462147236
311.0,2.0,8.5,0.5376105703222942
312.0,3.0,17.39999999999999,0.5365353491816496
313.0,2.0,9.199999999999996,0.5354622784832863
314.0,1.0,-0.8999999999999968,0.5343913539263198
315.0,2.0,9.300000000000004,0.5333225712184672
316.0,2.0,8.7,0.5322559260760302
